9.1号
赣A Z06Z1
皖S U8351
沪C 190C0
皖S JA562
冀F 6M0P2
沪B D91116
沪A H98361
沪A CT4336
浙A EB6779
沪A H36393
沪B AF2763
苏E 20L9B
苏E FQ7362
沪A CC5073
沪B 43U99
苏E 15W2C
沪B 94X07
沪A B19139
苏A A05499
沪D ES656
沪D YM326
沪E ZG875
辽C E689F
沪F YR653
陕A S26S7
沪A 627R4
粤B G16K8
豫C SC278
沪B 31T65
沪B 99B50
沪A NV1293
沪A CW8248
沪F ME538
苏U 676MQ
沪B 07B92
豫N R916R
沪D ES656
苏A AD5499
沪A B19139
沪B 94X07
苏E GL7909
沪D MZ390
苏U 8SG72
沪B 190T2
沪A 45M17
沪A BG0193
沪B AJ7619
辽A 6B0F7
陕U 56W82
沪A P88150
沪A 5E059
浙M DD8777
豫R 86LDV
沪A EA3408
鄂A H993E
鄂W V0500
苏E 6Z66R
皖F K8U05
沪D XU671
沪A DA3118
苏E FA2150
苏A 2J37H
豫A 1S7J4
浙G 0PLG7
苏M NB992沪C MN872 沪A BF0875
沪A AW2619 沪A B15867
沪B D11898 沪B AE3992
沪A AG3696 贵A 3G90S
沪B A06112
苏U DJ104
沪B LQ581
苏U A669H
沪B DT0638
沪B 176U3
沪A F79536
浙F DF5337
沪E NA556
苏F Q979Q
沪B DY2389
沪B DS0303
苏A FU0928
沪D 155A1
苏A 83506
沪D HQ976
沪A FK9423
沪C P899S
机动车辆91辆
非机动车39辆
