10.19 
陕A90PF2 苏EFD5823 苏JZZ079 苏A1N01C7 
陕A5Y98L 苏UU563U 沪A47P58 皖B21S91 
苏UY1U61 沪AB07551 川FSU272 沪J98887 
皖CZ115 沪AG78002 沪ADR7195 沪JA9351 
沪DSB763 苏FE9560 沪E81121 豫VE3257 
粤AG54M2 沪BD19206 苏ERL680 陕AS2657 
豫N6873X 浙AGJ9545 沪B531W7 苏U5YM66 
川AF81825 沪B78689 陕ADS6682 苏JSP96U 
苏AF8E32 沪DU9789 沪B03D65 沪ABP8859 
苏EBW1353 赣ER1R382 浙F35C66 沪ACJ617D 
沪AE3052 苏A89LD8 苏UV7R99 赣G8968B 
沪AYT317 苏EFB0876 沪BD55116 沪EHM708 
苏UC3174 沪AGP5092 沪FJV658 沪DGE7319 
苏U37275 皖H3F361 沪EFA361 沪FEX021 
苏F667U 沪FRQ355 沪AFN2839 沪ADR7795 
苏U36808 沪AEQ2205 沪A6X895 IPGA7287 
苏FD0189 鄂W0Y301 沪ADK4900 沪BDD1605 
沪AAF5128 沪AB09263 粤B966DU 沪AAM2922 
渝ACB329 沪BXW835 沪A759U1 苏AU162QC 
豫Q989CM 浙AFC1381 苏MBF665 川ABK4527 
粤BPU152 浙H67126 沪B9Q686 鲁AO5V1K 
苏U7WM63 苏A886AQ 沪C7378F 沪B63Z1 
苏AK1G25 浙AG63367 沪AEQ6686 沪B35N29 
赣C2350 苏F736156 皖JWZ80 陕NZDU26 
沪BS1D62 浙M1G33X 沪A7S0315 皖RZ2519 
沪AER2293 沪DXC951 沪A769Y7 苏E778QL 
沪B35U28 沪BYW273 沪ACG7786 豫A32G12 
川AXC662 沪B38D37 豫BCG9RR 
 苏EFU1888 
112
